"Year","Year ending","Offence Division","Offence Subdivision","Offence Group","Indigenous Status","Victim Reports"
2024,"March","A Crimes against the person","A60 Blackmail and extortion","A60 Blackmail and extortion","Aboriginal and/or Torres Strait Islander",7
2024,"March","A Crimes against the person","A60 Blackmail and extortion","A60 Blackmail and extortion","Non-Indigenous",366
2024,"March","A Crimes against the person","A60 Blackmail and extortion","A60 Blackmail and extortion","Total People",440
2024,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A71 Stalking & A72 Harassment and private nuisance","Aboriginal and/or Torres Strait Islander",63
2024,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A71 Stalking & A72 Harassment and private nuisance","Non-Indigenous",2097
2024,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A71 Stalking & A72 Harassment and private nuisance","Total People",2298
2024,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A73 Threatening behaviour","Aboriginal and/or Torres Strait Islander",248
2024,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A73 Threatening behaviour","Non-Indigenous",4671
2024,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A73 Threatening behaviour","Total People",5163
2024,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A80 Dangerous and negligent acts endangering people","Aboriginal and/or Torres Strait Islander",92
2024,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A80 Dangerous and negligent acts endangering people","Non-Indigenous",2991
2024,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A80 Dangerous and negligent acts endangering people","Total People",3340
2024,"March","B Property and deception offences","B10 Arson","B10 Arson","Aboriginal and/or Torres Strait Islander",29
2024,"March","B Property and deception offences","B10 Arson","B10 Arson","Non-Indigenous",1098
2024,"March","B Property and deception offences","B10 Arson","B10 Arson","Total People",1223
2024,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage","Aboriginal and/or Torres Strait Islander",767
2024,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage","Non-Indigenous",21364
2024,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage","Total People",23784
2024,"March","B Property and deception offences","B20 Property damage","B22 Graffiti & B29 Other property damage offences","Aboriginal and/or Torres Strait Islander",13
2024,"March","B Property and deception offences","B20 Property damage","B22 Graffiti & B29 Other property damage offences","Non-Indigenous",1258
2024,"March","B Property and deception offences","B20 Property damage","B22 Graffiti & B29 Other property damage offences","Total People",1382
2024,"March","B Property and deception offences","B30 Burglary/Break and enter","B31 Aggravated burglary","Aboriginal and/or Torres Strait Islander",107
2024,"March","B Property and deception offences","B30 Burglary/Break and enter","B31 Aggravated burglary","Non-Indigenous",4997
2024,"March","B Property and deception offences","B30 Burglary/Break and enter","B31 Aggravated burglary","Total People",5998
2024,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary","Aboriginal and/or Torres Strait Islander",291
2024,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary","Non-Indigenous",17251
2024,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary","Total People",18971
2024,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft","Aboriginal and/or Torres Strait Islander",223
2024,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft","Non-Indigenous",13367
2024,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft","Total People",14603
2024,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle","Aboriginal and/or Torres Strait Islander",485
2024,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle","Non-Indigenous",44016
2024,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle","Total People",47847
2024,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle","Aboriginal and/or Torres Strait Islander",92
2024,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle","Non-Indigenous",6877
