"Year","Year ending","AFM Sex","AFM Age Group","AFM Indigenous Status","AFM Counter"
2025,"March","Males","45-49 years","Aboriginal and/or Torres Strait Islander",106
2025,"March","Males","45-49 years","Non-Indigenous",2219
2025,"March","Males","45-49 years","Total People",2363
2025,"March","Males","50-54 years","Aboriginal and/or Torres Strait Islander",99
2025,"March","Males","50-54 years","Non-Indigenous",2015
2025,"March","Males","50-54 years","Total People",2158
2025,"March","Males","55-59 years","Aboriginal and/or Torres Strait Islander",47
2025,"March","Males","55-59 years","Non-Indigenous",1383
2025,"March","Males","55-59 years","Total People",1467
2025,"March","Males","60-64 years","Aboriginal and/or Torres Strait Islander",35
2025,"March","Males","60-64 years","Non-Indigenous",1288
2025,"March","Males","60-64 years","Total People",1351
2025,"March","Males","65 years and over","Aboriginal and/or Torres Strait Islander",40
2025,"March","Males","65 years and over","Non-Indigenous",2391
2025,"March","Males","65 years and over","Total People",2526
2025,"March","Males","Total","Aboriginal and/or Torres Strait Islander",1663
2025,"March","Males","Total","Non-Indigenous",23845
2025,"March","Males","Total","Total People",26560
2025,"March","People","00-14 years","Aboriginal and/or Torres Strait Islander",460
2025,"March","People","00-14 years","Non-Indigenous",3951
2025,"March","People","00-14 years","Total People",5228
2025,"March","People","15-17 years","Aboriginal and/or Torres Strait Islander",432
2025,"March","People","15-17 years","Non-Indigenous",3121
2025,"March","People","15-17 years","Total People",3813
2025,"March","People","18-19 years","Aboriginal and/or Torres Strait Islander",396
2025,"March","People","18-19 years","Non-Indigenous",2424
2025,"March","People","18-19 years","Total People",2991
2025,"March","People","20-24 years","Aboriginal and/or Torres Strait Islander",956
2025,"March","People","20-24 years","Non-Indigenous",7531
2025,"March","People","20-24 years","Total People",8839
2025,"March","People","25-29 years","Aboriginal and/or Torres Strait Islander",956
2025,"March","People","25-29 years","Non-Indigenous",9789
2025,"March","People","25-29 years","Total People",11077
2025,"March","People","30-34 years","Aboriginal and/or Torres Strait Islander",955
2025,"March","People","30-34 years","Non-Indigenous",12007
2025,"March","People","30-34 years","Total People",13262
2025,"March","People","35-39 years","Aboriginal and/or Torres Strait Islander",872
2025,"March","People","35-39 years","Non-Indigenous",13083
2025,"March","People","35-39 years","Total People",14250
2025,"March","People","40-44 years","Aboriginal and/or Torres Strait Islander",657
2025,"March","People","40-44 years","Non-Indigenous",11347
2025,"March","People","40-44 years","Total People",12298
2025,"March","People","45-49 years","Aboriginal and/or Torres Strait Islander",502
2025,"March","People","45-49 years","Non-Indigenous",8622
2025,"March","People","45-49 years","Total People",9348
2025,"March","People","50-54 years","Aboriginal and/or Torres Strait Islander",433
2025,"March","People","50-54 years","Non-Indigenous",7229
2025,"March","People","50-54 years","Total People",7887
2025,"March","People","55-59 years","Aboriginal and/or Torres Strait Islander",226
2025,"March","People","55-59 years","Non-Indigenous",4751
2025,"March","People","55-59 years","Total People",5126
2025,"March","People","60-64 years","Aboriginal and/or Torres Strait Islander",155
2025,"March","People","60-64 years","Non-Indigenous",3428
2025,"March","People","60-64 years","Total People",3699
2025,"March","People","65 years and over","Aboriginal and/or Torres Strait Islander",234
2025,"March","People","65 years and over","Non-Indigenous",6673
2025,"March","People","65 years and over","Total People",7266
2025,"March","People","Total","Aboriginal and/or Torres Strait Islander",7289
2025,"March","People","Total","Non-Indigenous",94988
2025,"March","People","Total","Total People",106241
2024,"March","Females","00-14 years","Aboriginal and/or Torres Strait Islander",271
2024,"March","Females","00-14 years","Non-Indigenous",2117
2024,"March","Females","00-14 years","Total People",2823
2024,"March","Females","15-17 years","Aboriginal and/or Torres Strait Islander",313
2024,"March","Females","15-17 years","Non-Indigenous",2171
2024,"March","Females","15-17 years","Total People",2674
2024,"March","Females","18-19 years","Aboriginal and/or Torres Strait Islander",241
2024,"March","Females","18-19 years","Non-Indigenous",1720
2024,"March","Females","18-19 years","Total People",2040
2024,"March","Females","20-24 years","Aboriginal and/or Torres Strait Islander",573
2024,"March","Females","20-24 years","Non-Indigenous",5417
2024,"March","Females","20-24 years","Total People",6187
2024,"March","Females","25-29 years","Aboriginal and/or Torres Strait Islander",679
2024,"March","Females","25-29 years","Non-Indigenous",7229
2024,"March","Females","25-29 years","Total People",8117
2024,"March","Females","30-34 years","Aboriginal and/or Torres Strait Islander",688
2024,"March","Females","30-34 years","Non-Indigenous",8696
2024,"March","Females","30-34 years","Total People",9597
2024,"March","Females","35-39 years","Aboriginal and/or Torres Strait Islander",553
2024,"March","Females","35-39 years","Non-Indigenous",9261
2024,"March","Females","35-39 years","Total People",10054
2024,"March","Females","40-44 years","Aboriginal and/or Torres Strait Islander",490
2024,"March","Females","40-44 years","Non-Indigenous",7792
2024,"March","Females","40-44 years","Total People",8458
2024,"March","Females","45-49 years","Aboriginal and/or Torres Strait Islander",360
2024,"March","Females","45-49 years","Non-Indigenous",5929
2024,"March","Females","45-49 years","Total People",6454
2024,"March","Females","50-54 years","Aboriginal and/or Torres Strait Islander",310
2024,"March","Females","50-54 years","Non-Indigenous",4712
2024,"March","Females","50-54 years","Total People",5177
2024,"March","Females","55-59 years","Aboriginal and/or Torres Strait Islander",182
2024,"March","Females","55-59 years","Non-Indigenous",2866
2024,"March","Females","55-59 years","Total People",3143
2024,"March","Females","60-64 years","Aboriginal and/or Torres Strait Islander",100
2024,"March","Females","60-64 years","Non-Indigenous",1914
2024,"March","Females","60-64 years","Total People",2083
2024,"March","Females","65 years and over","Aboriginal and/or Torres Strait Islander",138
2024,"March","Females","65 years and over","Non-Indigenous",3663
2024,"March","Females","65 years and over","Total People",3963
2024,"March","Females","Total","Aboriginal and/or Torres Strait Islander",4933
2024,"March","Females","Total","Non-Indigenous",64229
2024,"March","Females","Total","Total People",71576
2024,"March","Males","00-14 years","Aboriginal and/or Torres Strait Islander",161
2024,"March","Males","00-14 years","Non-Indigenous",1710
2024,"March","Males","00-14 years","Total People",2284
2024,"March","Males","15-17 years","Aboriginal and/or Torres Strait Islander",98
2024,"March","Males","15-17 years","Non-Indigenous",897
2024,"March","Males","15-17 years","Total People",1060
