"Year","Year ending","Offence Division","Offence Subdivision","Offence Group","Victim Reports","Rate per 100,000 population"
2022,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle",38886,587.825188897
2022,"March","B Property and deception offences","B40 Theft","B43 Steal from a retail store",166,2.509360216
2022,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle",6751,102.052354324
2022,"March","B Property and deception offences","B40 Theft","Other theft offences",21253,321.273690779
2022,"March","B Property and deception offences","B50 Deception","B50 Deception",8351,126.238958815
2022,"March","C Other offences","C Other offences","C Other offences",115,1.738412198
2021,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences",193,2.947545
2021,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault",14365,219.385927107
2021,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer",3416,52.170019283
2021,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault",25683,392.237296616
2021,"March","A Crimes against the person","A30 Sexual offences","A31 Rape",3449,52.674003661
2021,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault",3907,59.668695942
2021,"March","A Crimes against the person","A30 Sexual offences","A33 Incest",245,3.741702203
2021,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children",459,7.009964535
2021,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences",609,9.300802618
2021,"March","A Crimes against the person","A40 Abduction and related offences","A40 Abduction and related offences",511,7.804121737
2021,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery",2167,33.094974176
2021,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery",296,4.520587151
2021,"March","A Crimes against the person","A60 Blackmail and extortion","A61 Blackmail",106,1.618858912
2021,"March","A Crimes against the person","A60 Blackmail and extortion","A62 Extortion",59,0.901062979
2021,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A71 Stalking & A72 Harassment and private nuisance",2442,37.294843995
2021,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A73 Threatening behaviour",5652,86.318778977
2021,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A80 Dangerous and negligent acts endangering people",3466,52.933631977
2021,"March","B Property and deception offences","B10 Arson","B10 Arson",1044,15.944233059
2021,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage",21601,329.895956243
2021,"March","B Property and deception offences","B20 Property damage","B22 Graffiti",975,14.890447541
2021,"March","B Property and deception offences","B20 Property damage","B29 Other property damage offences",318,4.856576737
2021,"March","B Property and deception offences","B30 Burglary/Break and enter","B31 Aggravated burglary",3542,54.094323273
2021,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary",16228,247.838136101
2021,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft",11134,170.041274793
2021,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle",40014,611.10396709
2021,"March","B Property and deception offences","B40 Theft","B43 Steal from a retail store",160,2.443560622
2021,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle",6896,105.317462814
2021,"March","B Property and deception offences","B40 Theft","Other theft offences",20707,316.242561267
2021,"March","B Property and deception offences","B50 Deception","B50 Deception",9658,147.499428054
2021,"March","C Other offences","C Other offences","C Other offences",133,2.031209767
2020,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences",208,3.144346993
2020,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault",15302,231.32114274
2020,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer",2869,43.370824632
2020,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault",25508,385.605784147
2020,"March","A Crimes against the person","A30 Sexual offences","A31 Rape",3509,53.045738457
2020,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault",4168,63.007876287
2020,"March","A Crimes against the person","A30 Sexual offences","A33 Incest",218,3.295517522
2020,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children",456,6.8933761
2020,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences",509,7.694579902
2020,"March","A Crimes against the person","A40 Abduction and related offences","A40 Abduction and related offences",488,7.377121792
2020,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery",3403,51.443330855
2020,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery",500,7.558526426
2020,"March","A Crimes against the person","A60 Blackmail and extortion","A61 Blackmail",103,1.557056444
2020,"March","A Crimes against the person","A60 Blackmail and extortion","A62 Extortion",52,0.786086748
2020,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A71 Stalking & A72 Harassment and private nuisance",2035,30.763202554
2020,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A73 Threatening behaviour",5333,80.619242859
2020,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A80 Dangerous and negligent acts endangering people",3208,48.495505549
2020,"March","B Property and deception offences","B10 Arson","B10 Arson",1334,20.166148504
2020,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage",23669,357.805523953
2020,"March","B Property and deception offences","B20 Property damage","B22 Graffiti",1107,16.734577507
2020,"March","B Property and deception offences","B20 Property damage","B29 Other property damage offences",315,4.761871648
2020,"March","B Property and deception offences","B30 Burglary/Break and enter","B31 Aggravated burglary",4185,63.264866185
2020,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary",23976,362.446459178
2020,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft",15060,227.66281595
2020,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle",54544,824.544530756
2020,"March","B Property and deception offences","B40 Theft","B43 Steal from a retail store",213,3.219932257
2020,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle",8042,121.571339035
2020,"March","B Property and deception offences","B40 Theft","Other theft offences",26902,406.678955823
2020,"March","B Property and deception offences","B50 Deception","B50 Deception",8973,135.64531524
2020,"March","C Other offences","C Other offences","C Other offences",149,2.252440875
2019,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences",183,2.799318679
2019,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault",15494,237.00898153
2019,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer",2958,45.248003573
2019,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault",24318,371.988151081
2019,"March","A Crimes against the person","A30 Sexual offences","A31 Rape",3458,52.896415266
2019,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault",4287,65.577481852
2019,"March","A Crimes against the person","A30 Sexual offences","A33 Incest",249,3.808909023
2019,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children",464,7.097726051
2019,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences",423,6.470556292
2019,"March","A Crimes against the person","A40 Abduction and related offences","A40 Abduction and related offences",489,7.480146635
2019,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery",2637,40.337723267
2019,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery",423,6.470556292
2019,"March","A Crimes against the person","A60 Blackmail and extortion","A61 Blackmail",119,1.820321983
2019,"March","A Crimes against the person","A60 Blackmail and extortion","A62 Extortion",57,0.871918933
2019,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A71 Stalking & A72 Harassment and private nuisance",2057,31.465565703
2019,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A73 Threatening behaviour",5113,78.212657968
2019,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A80 Dangerous and negligent acts endangering people",3257,49.821753766
2019,"March","B Property and deception offences","B10 Arson","B10 Arson",1522,23.281765192
2019,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage",22474,343.780808758
2019,"March","B Property and deception offences","B20 Property damage","B22 Graffiti",775,11.855038124
2019,"March","B Property and deception offences","B20 Property damage","B29 Other property damage offences",349,5.338591361
2019,"March","B Property and deception offences","B30 Burglary/Break and enter","B31 Aggravated burglary",3408,52.131574097
2019,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary",22521,344.499759457
2019,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft",13991,214.017855982
2019,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle",48437,740.932234308
2019,"March","B Property and deception offences","B40 Theft","B43 Steal from a retail store",212,3.242926558
2019,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle",6382,97.624326844
2019,"March","B Property and deception offences","B40 Theft","Other theft offences",23598,360.974438243
2019,"March","B Property and deception offences","B50 Deception","B50 Deception",7920,121.150841211
2019,"March","C Other offences","C Other offences","C Other offences",124,1.8968061
2018,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences",221,3.440739413
2018,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault",15622,243.21824034
2018,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer",2871,44.69847446
2018,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault",23021,358.412950383
2018,"March","A Crimes against the person","A30 Sexual offences","A31 Rape",3482,54.211106956
2018,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault",4464,69.499822358
2018,"March","A Crimes against the person","A30 Sexual offences","A33 Incest",230,3.580860023
2018,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children",364,5.66710021
2018,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences",355,5.526979601
2018,"March","A Crimes against the person","A40 Abduction and related offences","A40 Abduction and related offences",448,6.974892566
2018,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery",2519,39.218201729
2018,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery",353,5.495841687
2018,"March","A Crimes against the person","A60 Blackmail and extortion","A61 Blackmail",81,1.261085486
2018,"March","A Crimes against the person","A60 Blackmail and extortion","A62 Extortion",44,0.685034091
2018,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A71 Stalking & A72 Harassment and private nuisance",1999,31.122344286
2018,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A73 Threatening behaviour",4726,73.578888993
2018,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A80 Dangerous and negligent acts endangering people",3329,51.829056593
2018,"March","B Property and deception offences","B10 Arson","B10 Arson",1666,25.937881731
2018,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage",23213,361.402190054
2018,"March","B Property and deception offences","B20 Property damage","B22 Graffiti",912,14.198888439
2018,"March","B Property and deception offences","B20 Property damage","B29 Other property damage offences",316,4.919790292
2018,"March","B Property and deception offences","B30 Burglary/Break and enter","B31 Aggravated burglary",3424,53.308107472
2018,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary",26602,414.165384044
