"Year","Year ending","Police Region","Local Government Area","Victim Reports","Rate per 100,000 population"
2022,"March","4 Western","Surf Coast",625,1618.835474513
2022,"March","4 Western","Swan Hill",805,3806.146572104
2022,"March","4 Western","Warrnambool",1144,3226.170332769
2022,"March","4 Western","West Wimmera",84,2137.404580153
2022,"March","4 Western","Yarriambiack",173,2698.907956318
2022,"March","4 Western","Total",31535,2980.561840869
2022,"March","Justice Institutions and Immigration Facilities","Justice Institutions and Immigration Facilities",686,
2022,"March","Justice Institutions and Immigration Facilities","Total",686,
2022,"March","Unincorporated Vic","Unincorporated Vic",37,
2022,"March","Unincorporated Vic","Total",37,
2021,"March","1 North West Metro","Banyule",3293,2585.381172961
2021,"March","1 North West Metro","Brimbank",7051,3585.904562353
2021,"March","1 North West Metro","Darebin",6144,4087.93314526
2021,"March","1 North West Metro","Hobsons Bay",2284,2475.424583004
2021,"March","1 North West Metro","Hume",7565,3063.745342621
2021,"March","1 North West Metro","Maribyrnong",3956,4579.498755571
2021,"March","1 North West Metro","Melbourne",10566,6900.920906538
2021,"March","1 North West Metro","Melton",4889,2695.951385749
2021,"March","1 North West Metro","Merri-bek",6145,3541.786743516
2021,"March","1 North West Metro","Moonee Valley",3314,2695.404636031
2021,"March","1 North West Metro","Nillumbik",807,1271.867612293
2021,"March","1 North West Metro","Whittlesea",5779,2492.764125591
2021,"March","1 North West Metro","Wyndham",6758,2280.627155594
2021,"March","1 North West Metro","Yarra",5738,6269.59932693
2021,"March","1 North West Metro","Total",74289,3355.573131385
2021,"March","2 Eastern","Alpine",192,1458.301686161
2021,"March","2 Eastern","Bass Coast",1235,3036.263060848
2021,"March","2 Eastern","Baw Baw",1654,2870.630705682
2021,"March","2 Eastern","Benalla",525,3636.741479634
2021,"March","2 Eastern","Boroondara",3918,2307.569983921
2021,"March","2 Eastern","East Gippsland",1927,3975.080966231
2021,"March","2 Eastern","Greater Shepparton",2856,4167.761141756
2021,"March","2 Eastern","Indigo",230,1333.256043128
2021,"March","2 Eastern","Knox",4187,2609.031598756
2021,"March","2 Eastern","Latrobe",4335,5621.328630522
2021,"March","2 Eastern","Manningham",2124,1688.112477249
2021,"March","2 Eastern","Mansfield",163,1610.512795178
2021,"March","2 Eastern","Maroondah",2861,2464.785698902
2021,"March","2 Eastern","Mitchell",1639,3296.990666238
2021,"March","2 Eastern","Moira",772,2542.233345408
2021,"March","2 Eastern","Monash",5144,2666.763438798
2021,"March","2 Eastern","Murrindindi",348,2298.698725147
2021,"March","2 Eastern","South Gippsland",690,2270.633144662
2021,"March","2 Eastern","Strathbogie",256,2251.935256861
2021,"March","2 Eastern","Towong",99,1600.387972842
2021,"March","2 Eastern","Wangaratta",769,2584.787065981
2021,"March","2 Eastern","Wellington",1704,3747.608260573
2021,"March","2 Eastern","Whitehorse",4103,2398.335252547
2021,"March","2 Eastern","Wodonga",1157,2677.806836855
2021,"March","2 Eastern","Yarra Ranges",2955,1877.132021776
2021,"March","2 Eastern","Total",45843,2692.638195722
2021,"March","3 Southern Metro","Bayside",2392,2337.581111719
2021,"March","3 Southern Metro","Cardinia",2585,2161.859282614
2021,"March","3 Southern Metro","Casey",8774,2374.187542957
2021,"March","3 Southern Metro","Frankston",4719,3350.9913083
2021,"March","3 Southern Metro","Glen Eira",3819,2535.216877547
2021,"March","3 Southern Metro","Greater Dandenong",6857,4282.948157402
