"Year","Year ending","Police Region","Local Government Area","Incidents Recorded","Rate per 100,000 population"
2023,"March","1 North West Metro","Total",134560,5742.865910312
2023,"March","2 Eastern","Alpine",346,2637.798277045
2023,"March","2 Eastern","Bass Coast",2134,5000.820190753
2023,"March","2 Eastern","Baw Baw",2883,4758.917812515
2023,"March","2 Eastern","Benalla",1001,6919.195410244
2023,"March","2 Eastern","Boroondara",5747,3299.081515499
2023,"March","2 Eastern","East Gippsland",3308,6750.744867556
2023,"March","2 Eastern","Greater Shepparton",5620,8165.637486378
2023,"March","2 Eastern","Indigo",544,3107.683518995
2023,"March","2 Eastern","Knox",6784,4199.267109042
2023,"March","2 Eastern","Latrobe",8031,10307.518546089
2023,"March","2 Eastern","Manningham",3039,2350.457097777
2023,"March","2 Eastern","Mansfield",280,2656.04249668
2023,"March","2 Eastern","Maroondah",5315,4532.933059282
2023,"March","2 Eastern","Mitchell",2555,4776.415164884
2023,"March","2 Eastern","Moira",1580,5159.01521583
2023,"March","2 Eastern","Monash",9213,4531.615061115
2023,"March","2 Eastern","Murrindindi",546,3536.04041189
2023,"March","2 Eastern","South Gippsland",1456,4732.343094874
2023,"March","2 Eastern","Strathbogie",380,3289.758462471
2023,"March","2 Eastern","Towong",145,2349.700210663
2023,"March","2 Eastern","Wangaratta",1794,5998.595646504
2023,"March","2 Eastern","Wellington",3052,6643.88183817
2023,"March","2 Eastern","Whitehorse",6183,3467.128726196
2023,"March","2 Eastern","Wodonga",2697,6157.112526539
2023,"March","2 Eastern","Yarra Ranges",4769,3010.105217979
2023,"March","2 Eastern","Total",79402,4551.066378554
2023,"March","3 Southern Metro","Bayside",3907,3751.896594772
2023,"March","3 Southern Metro","Cardinia",4663,3678.634258711
2023,"March","3 Southern Metro","Casey",15493,3959.598954194
2023,"March","3 Southern Metro","Frankston",9466,6636.892033065
2023,"March","3 Southern Metro","Glen Eira",5571,3558.266534666
2023,"March","3 Southern Metro","Greater Dandenong",13431,8215.533113535
2023,"March","3 Southern Metro","Kingston",7988,4887.151343844
2023,"March","3 Southern Metro","Mornington Peninsula",6974,4104.984960946
2023,"March","3 Southern Metro","Port Phillip",9819,8983.531564501
2023,"March","3 Southern Metro","Stonnington",8507,7667.625082246
2023,"March","3 Southern Metro","Total",85819,5237.873771997
