"Year","Year ending","Police Region","Local Government Area","Family Incidents","Rate per 100,000 population"
2024,"March","2 Eastern","Moira",631,2059.332267224
2024,"March","2 Eastern","Monash",1964,941.523888053
2024,"March","2 Eastern","Murrindindi",182,1170.418006431
2024,"March","2 Eastern","South Gippsland",537,1735.785628859
2024,"March","2 Eastern","Strathbogie",150,1282.599401454
2024,"March","2 Eastern","Towong",85,1383.688751424
2024,"March","2 Eastern","Wangaratta",621,2067.381316998
2024,"March","2 Eastern","Wellington",1327,2867.515180327
2024,"March","2 Eastern","Whitehorse",1492,816.152377618
2024,"March","2 Eastern","Wodonga",1061,2400.289573106
2024,"March","2 Eastern","Yarra Ranges",2008,1256.735866415
2024,"March","2 Eastern","Total",26127,1474.517213706
2024,"March","3 Southern Metro","Bayside",747,705.828994737
2024,"March","3 Southern Metro","Cardinia",1668,1282.179397499
2024,"March","3 Southern Metro","Casey",5560,1375.529430392
2024,"March","3 Southern Metro","Frankston",3013,2088.141325516
2024,"March","3 Southern Metro","Glen Eira",1064,662.787945233
2024,"March","3 Southern Metro","Greater Dandenong",2615,1568.244106341
2024,"March","3 Southern Metro","Kingston",1840,1107.959848499
2024,"March","3 Southern Metro","Mornington Peninsula",2137,1250.753554142
2024,"March","3 Southern Metro","Port Phillip",1338,1192.045900004
2024,"March","3 Southern Metro","Stonnington",918,809.809456598
2024,"March","3 Southern Metro","Total",20900,1248.33058183
2024,"March","4 Western","Ararat",364,3131.182795699
2024,"March","4 Western","Ballarat",2339,1940.128899543
2024,"March","4 Western","Buloke",56,945.786184766
2024,"March","4 Western","Campaspe",820,2158.803706824
2024,"March","4 Western","Central Goldfields",368,2689.665253618
2024,"March","4 Western","Colac-Otway",429,1931.736311239
2024,"March","4 Western","Corangamite",190,1205.660257631
2024,"March","4 Western","Gannawarra",220,2128.071193654
2024,"March","4 Western","Glenelg",473,2375.929274663
2024,"March","4 Western","Golden Plains",231,881.107678224
2024,"March","4 Western","Greater Bendigo",2462,1964.994053938
2024,"March","4 Western","Greater Geelong",5007,1734.470479015
2024,"March","4 Western","Hepburn",181,1076.291847535
2024,"March","4 Western","Hindmarsh",96,1765.354909893
2024,"March","4 Western","Horsham",689,3399.615137909
2024,"March","4 Western","Loddon",127,1644.864654837
2024,"March","4 Western","Macedon Ranges",495,923.765979285
2024,"March","4 Western","Mildura",2086,3651.065915217
2024,"March","4 Western","Moorabool",575,1448.034450628
2024,"March","4 Western","Mount Alexander",221,1066.756769803
2024,"March","4 Western","Moyne",166,939.658100306
2024,"March","4 Western","Northern Grampians",358,3053.565336063
2024,"March","4 Western","Pyrenees",92,1160.736815544
2024,"March","4 Western","Queenscliffe",12,365.519342065
2024,"March","4 Western","Southern Grampians",333,2024.316109422
2024,"March","4 Western","Surf Coast",266,667.77125069
2024,"March","4 Western","Swan Hill",663,3167.550523147
2024,"March","4 Western","Warrnambool",747,2080.895871636
2024,"March","4 Western","West Wimmera",59,1511.657699206
2024,"March","4 Western","Yarriambiack",119,1885.596577405
2024,"March","4 Western","Total",20244,1868.41706938
2024,"March","Justice Institutions and Immigration Facilities","Justice Institutions and Immigration Facilities",195,
2024,"March","Justice Institutions and Immigration Facilities","Total",195,
2024,"March","Unincorporated Vic","Unincorporated Vic",10,
