"Year","Year ending","Offence Division","Offence Subdivision","Offence Group","Alleged Offender Incidents","Rate per 100,000 population 10 years and older","Rate per 100,000 population 12 years and older"
2018,"March","C Drug offences","C10 Drug dealing and trafficking & C90 Other drug offences","C11 Drug dealing & C99 Other drug offences",11,0.195800402,0.201404817
2018,"March","C Drug offences","C10 Drug dealing and trafficking & C90 Other drug offences","C12 Drug trafficking",2832,50.409703441,51.852585589
2018,"March","C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",610,10.858022281,11.168812574
2018,"March","C Drug offences","C20 Cultivate or manufacture drugs","C22 Manufacture drugs & C23 Possess drug manufacturing equipment or precursor",206,3.666807524,3.771762935
2018,"March","C Drug offences","C30 Drug use and possession","C31 Drug use",126,2.242804602,2.30700063
2018,"March","C Drug offences","C30 Drug use and possession","C32 Drug possession",8988,159.986728293,164.566044942
2018,"March","D Public order and security offences","D10 Weapons and explosives offences","D11 Firearms offences",1252,22.28564573,22.92353007
2018,"March","D Public order and security offences","D10 Weapons and explosives offences","D12 Prohibited and controlled weapons offences",5298,94.304593513,97.003883634
2018,"March","D Public order and security offences","D10 Weapons and explosives offences","D13 Explosives offences",108,1.922403945,1.977429111
2018,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D21 Riot and affray",242,4.307608839,4.430905972
2018,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D22 Drunk and disorderly in public",7964,141.75949089,145.817087441
2018,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D23 Offensive conduct",2311,41.135884411,42.313321079
2018,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D24 Offensive language",590,10.50202155,10.802621998
2018,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D25 Criminal intent",113,2.011404127,2.068976756
2018,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D26 Disorderly conduct",182,3.239606648,3.332334243
2018,"March","D Public order and security offences","D30 Public nuisance offences","D31 Privacy offences",9,0.160200329,0.164785759
2018,"March","D Public order and security offences","D30 Public nuisance offences","D32 Hoaxes",56,0.996802045,1.025333613
2018,"March","D Public order and security offences","D30 Public nuisance offences","D33 Begging",122,2.171604456,2.233762515
2018,"March","D Public order and security offences","D30 Public nuisance offences","D34 Defamation and libel & D36 Other public nuisance offences",50,0.890001826,0.91547644
2018,"March","D Public order and security offences","D30 Public nuisance offences","D35 Improper movement on public or private space",783,13.9374286,14.336361058
2018,"March","D Public order and security offences","D40 Public security offences","D40 Public security offences",28,0.498401023,0.512666807
2018,"March","E Justice procedures offences","E10 Justice procedures","E11 Escape custody & E12 Fail to appear",42,0.747601534,0.76900021
2018,"March","E Justice procedures offences","E10 Justice procedures","E13 Resist or hinder officer",1262,22.463646095,23.106625358
2018,"March","E Justice procedures offences","E10 Justice procedures","E14 Pervert the course of justice or commit perjury",399,7.102214574,7.305501995
2018,"March","E Justice procedures offences","E10 Justice procedures","E15 Prison regulation offences",327,5.820611944,5.987215921
2018,"March","E Justice procedures offences","E10 Justice procedures","E19 Other justice procedures offences",643,11.445423486,11.773027025
2018,"March","E Justice procedures offences","E20 Breaches of orders","E21 Breach family violence order",10992,195.65800149,201.258340677
2018,"March","E Justice procedures offences","E20 Breaches of orders","E22 Breach intervention order",1386,24.670850625,25.37700693
2018,"March","E Justice procedures offences","E20 Breaches of orders","E23 Breach bail conditions",6435,114.543235043,117.821817891
2018,"March","E Justice procedures offences","E20 Breaches of orders","E29 Breach of other orders",719,12.798226262,13.164551214
2018,"March","F Other offences","F10 Regulatory driving offences & F20 Transport regulation offences","F10 Regulatory driving offences & F20 Transport regulation offences",161,2.865805881,2.947834138
2018,"March","F Other offences","F30 Other government regulatory offences","F30 Other government regulatory offences",93,1.655403397,1.702786179
2018,"March","F Other offences","F90 Miscellaneous offences","F90 Miscellaneous offences",69,1.22820252,1.263357488
2017,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences",166,3.016096873,3.101511538
2017,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault",13556,246.302465096,253.277653105
2017,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer",1899,34.503421453,35.480544648
2017,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault",14230,258.548545169,265.870537303
2017,"March","A Crimes against the person","A30 Sexual offences","A31 Rape",1235,22.439033962,23.074498494
2017,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault",1420,25.800346742,26.531002317
2017,"March","A Crimes against the person","A30 Sexual offences","A33 Incest",107,1.944110635,1.999167076
2017,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children",305,5.541623772,5.698560357
2017,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences",179,3.25229723,3.344400996
2017,"March","A Crimes against the person","A40 Abduction and related offences","A40 Abduction and related offences",246,4.469637534,4.596215894
2017,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery",2027,36.829086511,37.872071617
2017,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery",147,2.670880966,2.746519254
2017,"March","A Crimes against the person","A60 Blackmail and extortion","A61 Blackmail",36,0.654093298,0.67261696
2017,"March","A Crimes against the person","A60 Blackmail and extortion","A62 Extortion",9,0.163523324,0.16815424
2017,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A71 Stalking",1322,24.019759432,24.699989481
2017,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A72 Harassment and private nuisance",244,4.433299018,4.558848285
2017,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A73 Threatening behaviour",3594,65.300314219,67.149593188
