title,url,format,wayback_url,retrieved,source_page_url,license
"Occupational Therapists in Canada, 2023 — Data Tables",https://www.cihi.ca/sites/default/files/document/occupational-therapists-in-canada-2014-2023-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20241112131243/https://www.cihi.ca/sites/default/files/document/occupational-therapists-in-canada-2014-2023-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
Applying an Equity Lens to Patient Safety — Data Tables,https://www.cihi.ca/sites/default/files/document/applying-equity-lens-patient-safety-data-tables-en.xlsx,xlsx,,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
National Physician Database (NPDB) 2023,https://www.cihi.ca/sites/default/files/document/npdb-data-tables-2022-en.zip,zip,https://web.archive.org/web/20250830005703/https://www.cihi.ca/sites/default/files/document/npdb-data-tables-2022-en.zip,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
Scott's Medical Database (SMDB),https://www.cihi.ca/sites/default/files/document/supply-distribution-migration-physicians-2023-data-tables-en.zip,zip,https://web.archive.org/web/20260115131906/https://www.cihi.ca/sites/default/files/document/supply-distribution-migration-physicians-2023-data-tables-en.zip,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
Equity in Diabetes Care: A Focus on Lower Limb Amputation — Data Tables,https://www.cihi.ca/sites/default/files/document/equity-in-diabetes-care-in-canada-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20250929185254/https://www.cihi.ca/sites/default/files/document/equity-in-diabetes-care-in-canada-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"Profile of Residents in Residential and Hospital-Based Continuing Care, 2023–2024",https://www.cihi.ca/sites/default/files/document/residential-hospital-based-continuing-care-ltc-quick-stats-2023-2024-en.xlsx,xlsx,https://web.archive.org/web/20250929192415/https://www.cihi.ca/sites/default/files/document/residential-hospital-based-continuing-care-ltc-quick-stats-2023-2024-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"NACRS Emergency Department Visits and Lengths of Stay by Province/Territory, 2023–2024 (Q1 to Q4)",https://www.cihi.ca/sites/default/files/document/emergency-department-visits-apr-2023-mar-2024-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20250901092933/https://www.cihi.ca/sites/default/files/document/emergency-department-visits-apr-2023-mar-2024-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"Nursing in Canada, 2023 — Data Tables",https://www.cihi.ca/sites/default/files/document/nursing-in-canada-2014-2023-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20250414230014/https://www.cihi.ca/sites/default/files/document/nursing-in-canada-2014-2023-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"Health Workforce in Canada, 2022 — Data Tables",https://www.cihi.ca/sites/default/files/document/health-workforce-quickstats-2022-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20240826025306/https://www.cihi.ca/sites/default/files/document/health-workforce-quickstats-2022-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"Profile of Residents in Residential and Hospital-Based Continuing Care, 2022–2023",https://www.cihi.ca/sites/default/files/document/residential-hospital-based-continuing-care-ltc-quick-stats-2022-2023-data-tables-en.xlsx,xlsx,,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
