"soda_id","title","type","description","updated_at","page_views_total","domain_category"
"qbvv-9nzz","Revenue Actuals","dataset","This dataset contains revenue category and revenue class summary level data for revenue actuals.  The dollar amount field is rounded to millions. Data are from FY 2002 and updated once a year after an","2026-05-18T13:00:05.000Z",2334,"City Government"
"ipkp-snf6","BUILDING_HISTORIC","dataset","Historical footprint outlines of buildings in New York City. Please see the following link for additional documentation: https://github.com/CityOfNewYork/nyc-geo-metadata/blob/main/Metadata/Metadata_B","2026-05-17T20:40:54.000Z",2327,"City Government"
"epjz-e3up","2020-2021 Annual Report on Special Education","dataset","Local Law 27 0f 2015 Annual Report on Special Education.","2024-11-26T23:05:37.000Z",2323,"Education"
"n7ta-pz8k","Projected Public School Ratio","dataset","Estimated number of students to be generated by future housing growth.","2025-04-17T17:45:39.000Z",2319,"Education"
"hb7y-b986","Cash Assistance Engagement Report","dataset","Citywide statistics from the Office of Planning and Performance Management.","2025-09-23T16:31:39.000Z",2319,"Social Services"
"ws4c-4g69","HHS Accelerator Past Procurements","dataset","Shows procurements released through HHS Accelerator for health and human services for which the proposal deadline has passed. For current and upcoming procurements, visit http://www.nyc.gov/html/hhsac","2023-11-09T19:03:42.000Z",1777,"Social Services"
"htur-iwux","NYC Planimetric Database: Boardwalk","map","Boardwalks along beachfront. 
Please see the following link for additional documentation- https://github.com/CityOfNewYork/nyc-planimetrics/blob/master/Capture_Rules.md.","2024-04-25T19:44:59.000Z",2317,"City Government"
"b7t4-zm44","BPL Electronic Resources","href","A list of electronic databases available at Brooklyn Public Library.
Update schedule: As required","2024-10-30T14:28:29.000Z",2317,"Recreation"
"fypi-ruxh","NYC Office of The Comptroller: Board of Education Retirement System (BERS) Holdings Data","dataset","This dataset sets forth the Board of Education Retirement System (BERS) holdings (both equity and fixed income) of the identified pension/retirement system as of the close of the fiscal year.</p>
<b>N","2026-03-26T15:17:25.000Z",2313,"City Government"
"rqvv-d722","Largest Requirements Contracts","dataset","Annually published list of the 10 largest procurement contracts by original contract dollar amount.","2021-08-09T14:09:14.000Z",2312,"Business"
"gmi7-62cd","Local Law 44 - Funding","dataset","The Funding data table includes funding amounts, name and type for those funds that meet the definition of City Financial Assistance for each Local Law 44 Housing Development Project. This information","2025-11-17T21:31:21.000Z",2307,"Housing & Development"
"mjm3-8dw8","Graduation results for Cohorts 2012 to 2019 (Classes of 2016 to 2023)","dataset","This report includes Graduation Outcomes as calculated by the New York State Education Department.

The New York State calculation method was first adopted for the Cohort of 2001 (Class of 2005).  The","2024-11-26T23:16:38.000Z",2307,"Education"
"a5rk-jemi","Citywide Mobility Survey - Household Survey 2019","dataset","The Citywide Mobility Survey (CMS) is NYC DOT's annual travel survey to assess the travel behavior, preferences, and attitudes of NYC residents. It is composed of 5 linked data tables - this one is th","2026-03-24T14:58:30.000Z",2305,"Transportation"
"m5vz-tzqv","Parking Violations Issued - Fiscal Year 2025","dataset","This dataset provides data on Parking Violations Issued between July 1, 2024 to June 30, 2025.  In New York City, the fiscal year begins on July 1st of one calendar year and ends on June 30th of the f","2026-03-12T19:29:04.000Z",2299,"City Government"
"pwts-g83w","DOHMH HIV Service Directory","dataset","This directory is for at-risk for HIV and eligible persons living with HIV in New York City seeking HIV medical and supportive services. The agencies and their listed programs receive CDC and Ryan Whi","2025-01-14T18:13:02.000Z",2295,NA
"r465-fr2q","Parks Syringe Disposal Kiosks","dataset","• One line of data represents single syringe collection kiosk location, its capacity, how it is mounted, and when it was installed.
• Data is collected via an ArcGIS Online web application.
• Data is ","2026-05-05T18:57:52.000Z",2293,"Public Safety"
"q9xk-w9iv","Enrollment Capacity And Utilization Reports - Historical by Organization","dataset","Enrollment, historical capacity and utilization data for every building and schools in those buildings, by school.</br>
<b>SCA Data Disclaimer: ""The Historical report is no longer produced or maintai","2022-05-09T22:27:58.000Z",2293,"Education"
"y7z5-rhh5","Directory Of Family Shelter Performance Ranking FY 2012 Q4 and 2013 Q1","dataset","List of Facilities, Providers and their Rankings for Q4 2012 and Q1 2013","2022-05-09T22:25:50.000Z",2281,"Social Services"
