"zcta5","arealand","areawater","centlat","centlon","intptlat","intptlon"
"10038","747572","0","+40.7092638","-074.0029028","+40.7092638","-074.0029028"
"10039","774862","0","+40.8262869","-073.9375260","+40.8262869","-073.9375260"
"10040","1468523","0","+40.8580974","-073.9296002","+40.8580974","-073.9296002"
"10044","595879","0","+40.7619065","-073.9499670","+40.7619065","-073.9499670"
"10065","1081025","0","+40.7646886","-073.9632643","+40.7646886","-073.9632643"
"10069","106197","0","+40.7773824","-073.9888300","+40.7773824","-073.9888300"
"10075","488638","0","+40.7734133","-073.9562911","+40.7734133","-073.9562911"
"10103","24776","0","+40.7607797","-073.9776696","+40.7607797","-073.9776696"
"10110","26711","0","+40.7544986","-073.9822564","+40.7544986","-073.9822564"
"10111","24769","0","+40.7595312","-073.9785852","+40.7595312","-073.9785852"
"10112","24865","0","+40.7589044","-073.9790441","+40.7589044","-073.9790441"
"10115","6618","0","+40.8108520","-073.9637437","+40.8108520","-073.9637437"
"10119","65943","0","+40.7506440","-073.9927333","+40.7506440","-073.9927333"
"10128","1174715","0","+40.7814985","-073.9501988","+40.7814985","-073.9501988"
"10152","12423","0","+40.7584035","-073.9720314","+40.7584035","-073.9720314"
"10153","12281","0","+40.7636221","-073.9724387","+40.7636221","-073.9724387"
"10154","12382","0","+40.7577785","-073.9724875","+40.7577785","-073.9724875"
"10162","33146","0","+40.7692674","-073.9497953","+40.7692674","-073.9497953"
"10165","13058","0","+40.7521310","-073.9787223","+40.7521310","-073.9787223"
"10167","12396","0","+40.7546485","-073.9747710","+40.7546485","-073.9747710"
"10168","13211","0","+40.7514484","-073.9771032","+40.7514484","-073.9771032"
"10169","5396","0","+40.7545147","-073.9763929","+40.7545147","-073.9763929"
"10170","24921","0","+40.7526253","-073.9758766","+40.7526253","-073.9758766"
"10171","12470","0","+40.7558993","-073.9738583","+40.7558993","-073.9738583"
"10172","12415","0","+40.7552733","-073.9743148","+40.7552733","-073.9743148"
"10173","12297","0","+40.7541306","-073.9793637","+40.7541306","-073.9793637"
"10174","13224","0","+40.7514410","-073.9750035","+40.7514410","-073.9750035"
"10177","5421","0","+40.7551387","-073.9759337","+40.7551387","-073.9759337"
"10199","65414","0","+40.7513831","-073.9971519","+40.7513831","-073.9971519"
"10271","6779","0","+40.7082356","-074.0105414","+40.7082356","-074.0105414"
"10278","35671","0","+40.7151383","-074.0037175","+40.7151383","-074.0037175"
"10279","10805","0","+40.7126262","-074.0086688","+40.7126262","-074.0086688"
"10280","276531","0","+40.7097053","-074.0165861","+40.7097053","-074.0165861"
"10282","177847","0","+40.7163808","-074.0150041","+40.7163808","-074.0150041"
"10301","9732406","12647","+40.6275637","-074.0961409","+40.6275046","-074.0943767"
"10302","3090433","0","+40.6308062","-074.1376638","+40.6308062","-074.1376638"
"10303","8208234","38279","+40.6320735","-074.1690737","+40.6298846","-074.1741296"
"10304","9041054","19194","+40.6054668","-074.0942428","+40.6059650","-074.0935352"
"10305","10411103","42337","+40.5956884","-074.0754998","+40.5965488","-074.0757794"
"10306","18722813","100088","+40.5717061","-074.1244665","+40.5717144","-074.1242640"
"10307","4179217","289","+40.5077277","-074.2423021","+40.5077532","-074.2420912"
"10308","5660015","64656","+40.5530974","-074.1512853","+40.5528280","-074.1515250"
"10309","18787995","199296","+40.5300027","-074.2189793","+40.5298420","-074.2197775"
"10310","4668227","0","+40.6326122","-074.1161485","+40.6326122","-074.1161485"
"10311","121555","0","+40.6052306","-074.1795339","+40.6052306","-074.1795339"
"10312","17797576","137541","+40.5450074","-074.1808804","+40.5452374","-074.1804434"
"10314","33661748","1433218","+40.6010477","-074.1639533","+40.6006986","-074.1643138"
"10451","2735532","9963","+40.8209583","-073.9238251","+40.8221675","-073.9226159"
"10452","2543928","0","+40.8377909","-073.9233391","+40.8377909","-073.9233391"
"10453","2336538","0","+40.8525077","-073.9132906","+40.8525077","-073.9132906"
"10454","2745548","0","+40.8055831","-073.9165948","+40.8055831","-073.9165948"
"10455","1816372","0","+40.8147983","-073.9086010","+40.8147983","-073.9086010"
