"soda_id","title","type","description","updated_at","page_views_total","domain_category"
"tigz-p6c4","2015 Animals Admitted to the Animal Care & Control Centre","filter","Animals Admitted to the Animal Care & Control Centre","2025-02-14T23:43:22.000Z",12291,"Community Services"
"gc4g-ct3z","Edmonton Public School Board (EPSB)_School Catchment Areas and School Locations","dataset","Edmonton Public School Board (EPSB) school catchment areas and school locations, over time. As subsequent years' data is obtained, it will be appended to this dataset so that changes in catchment area","2025-02-13T21:27:49.000Z",12253,"Externally Sourced Datasets"
"878r-jzkf","Managing Asbestos in City Buildings","story","Managing Asbestos in City Buildings
- Asbestos background information,
- safety precautions,
- effects of asbestos, and
- list of City-owned buildings, their addresses and if there is a known pres","2018-11-23T22:38:43.008Z",11820,"Facilities and Structures"
"dyem-evbc","Automated Traffic Enforcement Tickets Issued (by Month)","story","A story explaining how to navigate the Mobile Automated Traffic Enforcement Tickets Issued map and the Intersection Safety Device Tickets Issued map.","2019-07-19T19:04:43.138Z",11792,"Vehicle Speed"
"5yjf-i6zh","City of Edmonton 2016 Water Usage - as Reported by EPCOR","story","This story provides an explanation for the public about water consumption in 2016.  The story included information about the average (annual, winter, summer) residential metered water consumption (201","2018-02-28T22:12:48.990Z",11749,"Externally Sourced Datasets"
"2kvx-xvgm","River Valley - Trail Cautions and Closures Map","map","This data-set provides information about what's happening in the River Valley that could impact your enjoyment in using its various facilities and amenities, including: closures, detours, construction","2026-05-24T15:15:19.000Z",11518,"Community Services"
"77sf-j5rj","Annual Collision Report: Collision Severity","dataset","<p>Severity of Collisions by Population and Road Users.</p><p>In <a href=""https://www.edmontonpolice.ca/TrafficVehicles/TrafficCollisions/ReportACollision"">September 2022, CRCs</a> were launched in Ed","2024-09-24T21:03:22.000Z",11341,NA
"uwuq-3zq3","Historical - City of Edmonton/NAIT Solar Panel Reference System","dataset","Data collection ended August 26, 2014 for this pilot project.

The reference system consists of six PV modules arranged at fixed angles on the roof of the Shaw Theatre at NAIT’s Main Campus, near th","2022-02-25T21:39:25.000Z",11085,"Environmental Services"
"svsw-2ub7","Vacant Land Inventory","dataset","This is a dataset using centroid points to geolocate vacant land in the city. This inventory is a snapshot in time using data collected from May 2014. The data is based on the land inventory and provi","2022-02-25T21:38:50.000Z",10684,"Urban Planning & Economy"
"jgsn-dhai","The Register and Inventory of Historic Resources in Edmonton","dataset","The Inventory of Historic Resources in Edmonton is an inventory of structures/resources in Edmonton that merit conservation and may be eligible for designation as Municipal Historic Resources. Resourc","2026-04-28T07:12:01.000Z",10765,"Historic Resource"
