"package_name","title","num_resources","metadata_modified","search_keyword"
"shelter-profile-information","Shelter Profile Information",3,"2025-07-24T19:55:02.643239","emergency"
"central-intake-calls","Central Intake calls",8,"2026-05-15T18:19:31.975248","emergency"
"fatal-and-non-fatal-suspected-opioid-overdoses-in-the-shelter-system","Fatal and non-fatal suspected opioid overdoses in the shelter system",11,"2026-03-09T18:14:28.814350","emergency"
"hostel-services-homeless-shelter-locations","Hostel Services: Homeless Shelter Locations",2,"2025-07-24T19:54:47.646942","emergency"
"transformto-net-zero-strategy-public-consultation-resident-survey","TransformTO Net Zero Strategy Public Consultation – Resident Survey",3,"2023-02-03T17:07:11.616745","emergency"
"toronto-shelter-system-flow","Toronto Shelter System Flow",4,"2026-05-15T20:04:30.137783","emergency"
"wellbeing-toronto-youth-services","Wellbeing Toronto - Youth Services",3,"2024-04-03T12:43:43.636456","wellbeing"
"wellbeing-toronto-demographics","Wellbeing Toronto - Demographics",2,"2025-07-24T19:55:44.663687","wellbeing"
"wellbeing-youth-transitional-housing","Wellbeing Youth - Transitional Housing",13,"2026-02-23T15:57:52.814192","wellbeing"
"wellbeing-toronto-housing","Wellbeing Toronto - Housing",1,"2024-04-03T12:43:41.172435","wellbeing"
"wellbeing-toronto-health","Wellbeing Toronto - Health",1,"2024-04-03T12:43:40.534316","wellbeing"
"wellbeing-toronto-education","Wellbeing Toronto - Education",1,"2024-04-03T12:43:39.481155","wellbeing"
"wellbeing-toronto-economics","Wellbeing Toronto - Economics",1,"2024-04-03T12:43:38.994265","wellbeing"
"wellbeing-toronto-culture","Wellbeing Toronto - Culture",1,"2025-07-24T19:55:43.384994","wellbeing"
"wellbeing-youth-educational-support","Wellbeing Youth - Educational Support",13,"2026-02-23T15:59:24.989978","wellbeing"
"wellbeing-youth-employment-resources","Wellbeing Youth - Employment Resources",13,"2026-02-23T15:59:14.213239","wellbeing"
"wellbeing-youth-financial-services","Wellbeing Youth - Financial Services",13,"2026-02-23T15:59:04.090742","wellbeing"
"wellbeing-youth-lgbtq-resources","Wellbeing Youth - LGBTQ Resources",13,"2026-02-23T15:58:43.906769","wellbeing"
"wellbeing-youth-mental-health","Wellbeing Youth - Mental Health",13,"2026-02-23T15:58:32.679279","wellbeing"
"wellbeing-youth-parenting-programs","Wellbeing Youth - Parenting Programs",13,"2026-02-23T15:58:22.779633","wellbeing"
"wellbeing-youth-recreation","Wellbeing Youth - Recreation",13,"2026-02-23T15:58:13.716158","wellbeing"
