"package_name","title","num_resources","metadata_modified","license"
"sewer-inlets","Sewer Inlets",8,"2026-05-22T16:35:49.540729","notspecified"
"transit-oriented-communities","Transit Oriented Communities",16,"2026-05-22T16:31:29.499400","notspecified"
"sewer-junctions","Sewer Junctions",8,"2026-05-22T16:29:05.533203","notspecified"
"tobids-non-competitive-contracts","Toronto Bids Non-Competitive Contracts",4,"2026-05-22T16:09:15.372072","notspecified"
"sidewalk-construction-program","Sidewalk Construction Program",8,"2026-05-22T14:48:53.318069",NA
"address-points-municipal-toronto-one-address-repository","Address Points (Municipal) - Toronto One Address Repository",10,"2026-05-22T11:41:30.867832","notspecified"
"intersection-file-city-of-toronto","Intersection File - City of Toronto",9,"2026-05-22T09:06:45.251788","notspecified"
"topographic-mapping-physical-location-of-trees","Topographic Mapping – Physical location of trees",2,"2026-05-22T06:28:59.589320","open-government-licence-toronto"
"topographic-mapping-waterbodies-rivers","Topographic Mapping - Waterbodies & Rivers",1,"2026-05-22T06:27:09.699972","notspecified"
"red-light-cameras","Red Light Cameras",13,"2026-05-22T05:03:36.593874","open-government-licence-toronto"
"registered-programs-and-drop-in-courses-offering","Registered Programs and Drop In Courses Offering",16,"2026-05-21T21:39:21.283760",NA
"heritage-register","Heritage Register",2,"2026-05-21T19:34:36.090347",NA
"members-of-toronto-city-council-meeting-attendance","Members of Toronto City Council - Meeting Attendance",21,"2026-05-21T18:08:54.078910","notspecified"
"tobids-awarded-contracts","Toronto Bids Awarded Contracts",4,"2026-05-21T16:05:40.770119","notspecified"
"outbreaks-in-toronto-healthcare-institutions","Outbreaks in Toronto Healthcare Institutions",44,"2026-05-21T16:05:08.446753","notspecified"
"road-reconstruction-program","Road Reconstruction Program",8,"2026-05-21T14:58:56.092529","notspecified"
"road-resurfacing-program","Road Resurfacing Program",8,"2026-05-21T14:54:09.249408","notspecified"
"development-pipeline","Development Pipeline",4,"2026-05-21T07:25:07.872577","notspecified"
"tennis-courts-facilities","Tennis Courts Facilities",11,"2026-05-21T04:08:43.656159","notspecified"
"monthly-communicable-disease-surveillance-data","Monthly Communicable Disease Surveillance Data",12,"2026-05-20T15:27:54.459794","notspecified"
"noise-exemption-permits","Noise Exemption Permits",11,"2026-05-19T23:04:17.909392","notspecified"
